Player,Nation,Pos,Age,PrgC,PrgP,PrgR,G+A,xG+xAG,Min,Squad,isBarca
Yacine Adli,fr FRA,MF,24.0,24,103,30,10,0.25,1234,Fiorentina,0
Adrián,es ESP,GK,38.0,0,0,0,0,0.0,1710,Betis,0
Julen Agirrezabala,es ESP,GK,24.0,0,0,0,0,0.0,1206,Athletic Club,0
Lucien Agoume,fr FRA,MF,23.0,29,135,23,4,0.14,2114,Sevilla,0
Alisson,br BRA,GK,32.0,0,1,0,0,0.02,2508,Liverpool,0
Sergi Altimira,es ESP,MF,23.0,25,99,30,1,0.16,1972,Betis,0
Mauro Arambarri,uy URU,MF,29.0,17,75,55,10,0.3,2661,Getafe,0
Kristjan Asllani,al ALB,MF,23.0,7,55,20,4,0.39,988,Inter,0
Nicolò Barella,it ITA,MF,28.0,63,235,133,9,0.24,2493,Inter,0
Enzo Barrenechea,ar ARG,MF,24.0,21,126,16,3,0.09,2191,Valencia,0
Jude Bellingham,eng ENG,MF,21.0,74,199,143,17,0.55,2488,Real Madrid,0
Ismaël Bennacer,dz ALG,MF,27.0,14,72,8,2,0.26,646,Marseille,0
Rodrigo Bentancur,uy URU,MF,27.0,28,100,34,2,0.1,1645,Tottenham,0
Lucas Bergvall,se SWE,MF,19.0,33,49,31,1,0.09,1212,Tottenham,0
Yves Bissouma,ml MLI,MF,28.0,15,75,3,2,0.06,1408,Tottenham,0
Julian Brandt,de GER,MF,29.0,61,149,199,15,0.52,2303,Dortmund,0
Hakan Çalhanoğlu,tr TUR,MF,31.0,52,173,51,11,0.46,1947,Inter,0
Johnny Cardoso,us USA,MF,23.0,19,71,28,4,0.12,2144,Betis,0
Casemiro,br BRA,MF,33.0,4,84,28,1,0.25,1494,Manchester Utd,0
Danilo Cataldi,it ITA,MF,30.0,18,90,16,3,0.1,1728,Fiorentina,0
Dani Ceballos,es ESP,MF,28.0,42,150,17,0,0.15,1215,Real Madrid,0
Santi Comesaña,es ESP,MF,28.0,39,154,58,6,0.23,2560,Villarreal,0
Diego Conde,es ESP,GK,26.0,0,0,0,1,0.01,1962,Villarreal,0
Samu Costa,pt POR,MF,24.0,24,116,69,2,0.1,2649,Mallorca,0
Thibaut Courtois,be BEL,GK,33.0,0,0,0,0,0.0,2700,Real Madrid,0
Bryan Cristante,it ITA,MF,30.0,25,145,41,6,0.15,2045,Roma,0
Michele Di Gregorio,it ITA,GK,27.0,0,0,0,0,0.01,2970,Juventus,0
Gianluigi Donnarumma,it ITA,GK,26.0,0,0,0,0,0.0,2091,Paris S-G,0
Martin Dúbravka,sk SVK,GK,36.0,0,0,0,0,0.0,900,Newcastle Utd,0
Ederson,br BRA,GK,31.0,0,2,0,4,0.06,2320,Manchester City,0
Christian Eriksen,dk DEN,MF,33.0,13,55,29,3,0.39,1061,Manchester Utd,0
Nicolò Fagioli,it ITA,MF,24.0,15,50,19,3,0.34,962,Fiorentina,0
João Félix,pt POR,MF,25.0,20,40,56,2,0.46,760,Milan,0
Bruno Fernandes,pt POR,MF,30.0,77,325,129,18,0.55,3018,Manchester Utd,0
Álvaro Fernández,es ESP,GK,27.0,0,0,0,0,0.02,747,Sevilla,0
Enzo Fernández,ar ARG,MF,24.0,60,212,126,13,0.39,2947,Chelsea,0
Youssouf Fofana,fr FRA,MF,26.0,44,176,32,7,0.17,2504,Milan,0
Fraser Forster,eng ENG,GK,37.0,0,0,0,0,0.0,630,Tottenham,0
Davide Frattesi,it ITA,MF,25.0,23,31,50,6,0.35,1225,Inter,0
Iñigo Ruiz de Galarreta,es ESP,MF,31.0,27,137,39,4,0.21,1477,Athletic Club,0
Aleix García,es ESP,MF,27.0,27,120,47,7,0.36,1455,Leverkusen,0
David de Gea,es ESP,GK,34.0,0,0,0,1,0.01,3150,Fiorentina,0
Billy Gilmour,sct SCO,MF,23.0,11,67,18,1,0.18,1177,Napoli,0
Nicolás González,es ESP,MF,23.0,9,50,11,1,0.06,760,Manchester City,0
Ryan Gravenberch,nl NED,MF,23.0,70,181,55,4,0.12,3160,Liverpool,0
Dominik Greif,sk SVK,GK,28.0,0,0,0,0,0.0,2790,Mallorca,0
Mattéo Guendouzi,fr FRA,MF,26.0,89,316,64,4,0.13,3270,Lazio,0
Javier Guerra,es ESP,MF,22.0,50,137,84,6,0.19,2581,Valencia,0
Pape Gueye,sn SEN,MF,26.0,36,156,69,4,0.18,2224,Villarreal,0
Bruno Guimarães,br BRA,MF,27.0,64,271,96,11,0.29,3271,Newcastle Utd,0
İlkay Gündoğan,de GER,MF,34.0,64,127,96,7,0.27,2223,Manchester City,0
Dean Henderson,eng ENG,GK,28.0,0,0,0,0,0.0,3420,Crystal Palace,0
Lukáš Hrádecký,fi FIN,GK,35.0,0,0,0,0,0.0,2610,Leverkusen,0
Will Hughes,eng ENG,MF,30.0,20,87,27,3,0.18,2108,Crystal Palace,0
Pierre Højbjerg,dk DEN,MF,29.0,36,263,43,6,0.24,2664,Marseille,0
Isco,es ESP,MF,33.0,38,152,112,17,0.76,1547,Betis,0
Mikel Jauregizar,es ESP,MF,21.0,14,118,31,3,0.1,2244,Athletic Club,0
Jorginho,it ITA,MF,33.0,12,48,6,0,0.06,704,Arsenal,0
Luiz Lúcio Reis Júnior,br BRA,GK,24.0,0,0,0,0,0.0,1458,Villarreal,0
Daichi Kamada,jp JPN,MF,28.0,25,88,56,0,0.17,1564,Crystal Palace,0
Caoimhín Kelleher,ie IRL,GK,26.0,0,0,0,0,0.0,900,Liverpool,0
Joshua Kimmich,de GER,MF,30.0,51,362,77,10,0.29,2847,Bayern Munich,0
Gregor Kobel,ch SUI,GK,27.0,0,1,0,0,0.0,2880,Dortmund,0
Manu Koné,fr FRA,MF,24.0,70,144,50,3,0.18,2572,Roma,0
Mateo Kovačić,hr CRO,MF,31.0,56,164,16,8,0.23,2198,Manchester City,0
Roméo Lavia,be BEL,MF,21.0,3,31,7,1,0.11,797,Chelsea,0
Stanislav Lobotka,sk SVK,MF,30.0,30,118,32,1,0.05,2636,Napoli,0
Manuel Locatelli,it ITA,MF,27.0,33,294,33,4,0.14,2822,Juventus,0
Ruben Loftus-Cheek,eng ENG,MF,29.0,27,51,32,0,0.22,1037,Milan,0
Sean Longstaff,eng ENG,MF,27.0,4,40,22,0,0.09,798,Newcastle Utd,0
Andriy Lunin,ua UKR,GK,26.0,0,0,0,1,0.13,630,Real Madrid,0
Alexis Mac Allister,ar ARG,MF,26.0,36,177,80,10,0.26,2599,Liverpool,0
James Maddison,eng ENG,MF,28.0,45,164,95,16,0.5,1809,Tottenham,0
Mike Maignan,fr FRA,GK,29.0,0,4,0,0,0.02,3294,Milan,0
Kobbie Mainoo,eng ENG,MF,20.0,22,65,47,0,0.12,1651,Manchester Utd,0
Giorgi Mamardashvili,ge GEO,GK,24.0,1,0,0,0,0.0,3060,Valencia,0
Christos Mandas,gr GRE,GK,23.0,0,3,0,0,0.0,810,Lazio,0
Rolando Mandragora,it ITA,MF,27.0,11,92,34,7,0.35,1931,Fiorentina,0
Pablo Marín,es ESP,MF,21.0,20,45,47,3,0.17,1239,Real Sociedad,0
Omar Mascarell,gq EQG,MF,32.0,10,75,12,1,0.03,1992,Mallorca,0
Pape Matar Sarr,sn SEN,MF,22.0,33,88,53,5,0.25,1913,Tottenham,0
Senny Mayulu,fr FRA,MF,19.0,29,46,56,4,0.55,808,Paris S-G,0
Scott McTominay,sct SCO,MF,28.0,56,112,131,16,0.31,2938,Napoli,0
Brais Méndez,es ESP,MF,28.0,32,91,86,5,0.33,1531,Real Sociedad,0
Alex Meret,it ITA,GK,28.0,0,1,0,0,0.0,3005,Napoli,0
Luis Milla,es ESP,MF,30.0,32,152,30,5,0.18,2875,Getafe,0
Henrikh Mkhitaryan,am ARM,MF,36.0,72,199,93,5,0.16,2396,Inter,0
Luka Modrić,hr CRO,MF,39.0,62,208,63,8,0.42,1827,Real Madrid,0
Manu Morlanes,es ESP,MF,26.0,16,88,39,0,0.06,1338,Mallorca,0
Mason Mount,eng ENG,MF,26.0,15,33,41,1,0.55,622,Manchester Utd,0
